id;Dataset;k;normalize;meka;weka;Accuracy;Jaccard index;Hamming score;Exact match;Jaccard distance;Hamming loss;ZeroOne loss;Harmonic score;One error;Rank loss;Avg precision;Log Loss (lim. L);Log Loss (lim. D);Micro Precision;Micro Recall;Macro Precision;Macro Recall;F1 (micro averaged);F1 (macro averaged by label);AUPRC (macro averaged);AUROC (macro averaged);Build Time;Test Time;Total Time;Accuracy (per label);Harmonic (per label);Precision (per label);Recall (per label);avg. relevance (test set);avg. relevance (predicted);avg. relevance (difference);Model Size
44;emotions;1;False;meka.classifiers.multilabel.PSt -P 5 -N 1;weka.classifiers.functions.SimpleLogistic -- -W 0.30000000000000004 -S;0.469;0.469;0.742;0.203;0.531;0.258;0.797;0.609;0.371;0.222;0.74;0.463;0.601;0.572;0.592;0.561;0.581;0.582;0.57;0.593;0.77;2.97;0.022;2.992;['0.748', '0.708', '0.713', '0.822', '0.703', '0.757'];['0.695', '0.523', '0.712', '0.748', '0.610', '0.713'];['0.547', '0.457', '0.660', '0.627', '0.467', '0.606'];['0.614', '0.382', '0.705', '0.653', '0.500', '0.635'];['0.282', '0.272', '0.436', '0.243', '0.277', '0.312'];['0.317', '0.228', '0.465', '0.252', '0.297', '0.327'];['-0.035', '0.045', '-0.030', '-0.010', '-0.020', '-0.015'];43849
45;emotions;2;False;meka.classifiers.multilabel.PMCC -Iy 82 -Is 311 -B 0.25 -O 0 -M 27 -P 'Harmonic score';weka.classifiers.functions.SimpleLogistic -- -W 0.2 -A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;emotions;2;False;meka.classifiers.multilabel.PSt -P 5 -N 1;weka.classifiers.functions.SimpleLogistic -- -W 0.30000000000000004 -S;0.521;0.521;0.78;0.236;0.479;0.22;0.764;0.667;0.291;0.164;0.79;0.423;0.509;0.642;0.648;0.624;0.635;0.645;0.623;0.65;0.804;4.124;0.088;4.212;['0.764', '0.698', '0.724', '0.899', '0.789', '0.804'];['0.699', '0.372', '0.726', '0.876', '0.691', '0.797'];['0.593', '0.419', '0.657', '0.774', '0.640', '0.662'];['0.603', '0.236', '0.784', '0.837', '0.571', '0.778'];['0.291', '0.276', '0.442', '0.246', '0.281', '0.317'];['0.296', '0.156', '0.528', '0.266', '0.251', '0.372'];['-0.005', '0.121', '-0.085', '-0.020', '0.030', '-0.055'];47663
47;emotions;0;False;meka.classifiers.multilabel.CT -X None -Iy 54 -Is 0 -P 'Avg precision' -H 1;weka.classifiers.trees.REPTree -- -M 21 -L -1 -P;0.42;0.42;0.745;0.167;0.58;0.255;0.833;0.539;0.422;0.314;0.562;0.457;1.342;0.624;0.523;0.617;0.518;0.569;0.558;0.477;0.683;1.749;0.35;2.099;['0.719', '0.714', '0.708', '0.818', '0.766', '0.745'];['0.479', '0.637', '0.693', '0.752', '0.649', '0.593'];['0.559', '0.508', '0.705', '0.647', '0.617', '0.667'];['0.328', '0.536', '0.625', '0.660', '0.518', '0.444'];['0.302', '0.292', '0.458', '0.260', '0.292', '0.328'];['0.177', '0.307', '0.406', '0.266', '0.245', '0.219'];['0.125', '-0.016', '0.052', '-0.005', '0.047', '0.109'];36449
48;emotions;0;False;meka.classifiers.multilabel.RT;weka.classifiers.trees.RandomTree -- -M 20 -K 0 -depth 6 -N 2;0.438;0.438;0.713;0.224;0.562;0.287;0.776;0.559;0.406;0.281;0.692;0.564;0.652;0.557;0.528;0.557;0.509;0.542;0.527;0.493;0.695;1.006;0.021;1.027;['0.734', '0.635', '0.630', '0.818', '0.703', '0.755'];['0.602', '0.436', '0.630', '0.635', '0.575', '0.727'];['0.574', '0.354', '0.581', '0.727', '0.490', '0.618'];['0.466', '0.304', '0.693', '0.480', '0.446', '0.667'];['0.302', '0.292', '0.458', '0.260', '0.292', '0.328'];['0.245', '0.250', '0.547', '0.172', '0.266', '0.354'];['0.057', '0.042', '-0.089', '0.089', '0.026', '-0.026'];13297
49;emotions;1;True;meka.classifiers.multilabel.CDN -Ic 93 -I 373;weka.classifiers.functions.MultilayerPerceptron -- -L 0.1 -M 0.1 -H 6 -R -D;0.468;0.468;0.748;0.223;0.532;0.252;0.777;0.602;0.401;0.218;0.729;0.485;0.492;0.582;0.609;0.57;0.609;0.595;0.56;0.611;0.791;23.427;6.321;29.748;['0.752', '0.718', '0.693', '0.866', '0.757', '0.703'];['0.753', '0.166', '0.656', '0.831', '0.686', '0.730'];['0.544', '0.417', '0.681', '0.704', '0.559', '0.514'];['0.754', '0.091', '0.557', '0.776', '0.589', '0.889'];['0.282', '0.272', '0.436', '0.243', '0.277', '0.312'];['0.391', '0.059', '0.356', '0.267', '0.292', '0.540'];['-0.109', '0.213', '0.079', '-0.025', '-0.015', '-0.228'];578954
50;emotions;1;False;meka.classifiers.multilabel.CT -X None -Iy 54 -Is 0 -P 'Avg precision' -H 1;weka.classifiers.trees.REPTree -- -M 21 -L -1 -P;0.415;0.415;0.746;0.188;0.585;0.254;0.812;0.515;0.485;0.317;0.549;0.455;1.349;0.592;0.524;0.51;0.5;0.556;0.497;0.45;0.665;1.718;0.48;2.198;['0.693', '0.728', '0.658', '0.861', '0.787', '0.748'];['0.640', '0.000', '0.650', '0.778', '0.615', '0.627'];['0.464', '0.000', '0.577', '0.733', '0.667', '0.620'];['0.561', '0.000', '0.807', '0.673', '0.464', '0.492'];['0.282', '0.272', '0.436', '0.243', '0.277', '0.312'];['0.342', '0.000', '0.609', '0.223', '0.193', '0.248'];['-0.059', '0.272', '-0.173', '0.020', '0.084', '0.064'];35917
51;emotions;1;False;meka.classifiers.multilabel.RT;weka.classifiers.trees.RandomTree -- -M 20 -K 0 -depth 6 -N 2;0.438;0.438;0.71;0.208;0.562;0.29;0.792;0.585;0.396;0.278;0.689;0.528;0.63;0.521;0.565;0.5;0.528;0.542;0.49;0.49;0.7;0.949;0.004;0.953;['0.713', '0.649', '0.703', '0.752', '0.733', '0.713'];['0.715', '0.405', '0.690', '0.554', '0.325', '0.709'];['0.494', '0.326', '0.611', '0.488', '0.550', '0.530'];['0.719', '0.273', '0.875', '0.408', '0.196', '0.698'];['0.282', '0.272', '0.436', '0.243', '0.277', '0.312'];['0.411', '0.228', '0.624', '0.203', '0.099', '0.411'];['-0.129', '0.045', '-0.188', '0.040', '0.178', '-0.099'];13499
52;emotions;0;True;meka.classifiers.multilabel.CDT -H 0 -X L -I 518 -Ic 16;weka.classifiers.lazy.KStar -- -B 63 -M n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;emotions;2;False;meka.classifiers.multilabel.CT -X None -Iy 54 -Is 0 -P 'Avg precision' -H 1;weka.classifiers.trees.REPTree -- -M 21 -L -1 -P;0.506;0.506;0.785;0.211;0.494;0.215;0.789;0.66;0.382;0.238;0.597;0.386;1.139;0.647;0.667;0.642;0.636;0.657;0.623;0.522;0.732;1.367;0.223;1.59;['0.749', '0.714', '0.744', '0.849', '0.824', '0.829'];['0.618', '0.437', '0.715', '0.804', '0.669', '0.828'];['0.583', '0.471', '0.639', '0.679', '0.784', '0.693'];['0.483', '0.291', '0.966', '0.735', '0.518', '0.825'];['0.291', '0.276', '0.442', '0.246', '0.281', '0.317'];['0.241', '0.171', '0.668', '0.266', '0.186', '0.377'];['0.050', '0.106', '-0.226', '-0.020', '0.095', '-0.060'];34587
54;emotions;2;False;meka.classifiers.multilabel.RT;weka.classifiers.trees.RandomTree -- -M 20 -K 0 -depth 6 -N 2;0.443;0.443;0.729;0.201;0.557;0.271;0.799;0.575;0.432;0.269;0.677;0.538;0.611;0.561;0.575;0.548;0.551;0.568;0.543;0.513;0.729;0.823;0.021;0.844;['0.734', '0.668', '0.724', '0.779', '0.764', '0.709'];['0.665', '0.464', '0.725', '0.562', '0.646', '0.718'];['0.541', '0.383', '0.670', '0.571', '0.592', '0.528'];['0.569', '0.327', '0.739', '0.408', '0.518', '0.746'];['0.291', '0.276', '0.442', '0.246', '0.281', '0.317'];['0.307', '0.236', '0.487', '0.176', '0.246', '0.447'];['-0.015', '0.040', '-0.045', '0.070', '0.035', '-0.131'];13789
55;emotions;2;True;meka.classifiers.multilabel.CDN -Ic 93 -I 373;weka.classifiers.functions.MultilayerPerceptron -- -L 0.1 -M 0.1 -H 6 -R -D;0.554;0.554;0.803;0.271;0.446;0.197;0.729;0.692;0.291;0.149;0.794;0.437;0.439;0.68;0.686;0.664;0.668;0.683;0.65;0.68;0.834;13.56;3.442;17.002;['0.824', '0.709', '0.744', '0.915', '0.819', '0.809'];['0.747', '0.303', '0.741', '0.909', '0.704', '0.820'];['0.725', '0.435', '0.661', '0.786', '0.727', '0.651'];['0.638', '0.182', '0.864', '0.898', '0.571', '0.857'];['0.291', '0.276', '0.442', '0.246', '0.281', '0.317'];['0.256', '0.116', '0.578', '0.281', '0.221', '0.417'];['0.035', '0.161', '-0.136', '-0.035', '0.060', '-0.101'];581273
56;emotions;0;True;meka.classifiers.multilabel.BPNN -E 736 -H 19 -r 0.032 -m 0.2;;0.364;0.364;0.68;0.125;0.636;0.32;0.875;0.487;0.536;0.317;0.644;0.568;1.226;0.503;0.477;0.663;0.491;0.49;0.434;0.628;0.787;13.501;0.006;13.507;['0.708', '0.719', '0.682', '0.729', '0.469', '0.771'];['0.338', '0.069', '0.606', '0.775', '0.442', '0.530'];['0.545', '1.000', '0.745', '0.490', '0.342', '0.852'];['0.207', '0.036', '0.466', '0.980', '0.893', '0.365'];['0.302', '0.292', '0.458', '0.260', '0.292', '0.328'];['0.115', '0.010', '0.286', '0.521', '0.760', '0.141'];['0.188', '0.281', '0.172', '-0.260', '-0.469', '0.188'];33831
57;emotions;1;True;meka.classifiers.multilabel.BPNN -E 736 -H 19 -r 0.032 -m 0.2;;0.478;0.478;0.752;0.257;0.522;0.248;0.743;0.605;0.396;0.253;0.713;0.468;0.676;0.588;0.609;0.671;0.59;0.598;0.577;0.624;0.795;12.105;0.003;12.108;['0.772', '0.554', '0.767', '0.886', '0.787', '0.743'];['0.688', '0.584', '0.765', '0.738', '0.679', '0.341'];['0.600', '0.345', '0.675', '0.906', '0.633', '0.867'];['0.579', '0.709', '0.898', '0.592', '0.554', '0.206'];['0.282', '0.272', '0.436', '0.243', '0.277', '0.312'];['0.272', '0.559', '0.579', '0.158', '0.243', '0.074'];['0.010', '-0.287', '-0.144', '0.084', '0.035', '0.238'];33831
58;emotions;2;True;meka.classifiers.multilabel.BPNN -E 736 -H 19 -r 0.032 -m 0.2;;0.452;0.452;0.733;0.166;0.548;0.267;0.834;0.602;0.347;0.231;0.744;0.442;0.646;0.567;0.572;0.615;0.573;0.57;0.561;0.672;0.813;12.644;0.003;12.647;['0.648', '0.653', '0.688', '0.844', '0.784', '0.779'];['0.676', '0.508', '0.590', '0.596', '0.654', '0.798'];['0.442', '0.375', '0.750', '0.875', '0.644', '0.604'];['0.793', '0.382', '0.443', '0.429', '0.518', '0.873'];['0.291', '0.276', '0.442', '0.246', '0.281', '0.317'];['0.523', '0.281', '0.261', '0.121', '0.226', '0.457'];['-0.231', '-0.005', '0.181', '0.126', '0.055', '-0.141'];33831
59;emotions;1;True;meka.classifiers.multilabel.CDT -H 0 -X L -I 518 -Ic 16;weka.classifiers.lazy.KStar -- -B 63 -M n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;emotions;2;True;meka.classifiers.multilabel.CDT -H 0 -X L -I 518 -Ic 16;weka.classifiers.lazy.KStar -- -B 63 -M n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
